text,label
"Yeah, this might be worth discussing. actually",interested
How would this affect my monthly payment?,interested
Why do I keep getting these calls?,complaint
Would you mind calling back well this evening?,callback_request
"You uh guys keep calling me every single day, this is harassment",complaint
"You can call you know back if you want, but I doubt I'll be interested.",not_interested
"I wasn't planning on refinancing, but what do you have?",interested
"No, I don't need any honestly information.",not_interested
"Okay, go ahead.",interested
Try me later and I'll decide if I want uh to hear more.,callback_request
"You can call back if you want, but I doubt I'll be interested.",not_interested
"No, actually we're good.",not_interested
Could we talk tomorrow well instead?,callback_request
well I've already looked into refinancing and decided against it.,not_interested
Why do I uh keep getting calls from you after saying no,complaint
You need to take my number out of your system.,complaint
"No, we're good.",not_interested
That sounds interesting. What's the rate?,interested
I'm busy right now and honestly not interested anyway.,not_interested
"That sounds honestly interesting, can you explain the benefits",interested
I'm not actually looking for mortgage offers.,not_interested
We're not looking to make any changes at the moment,not_interested
"No I mean thanks, we're not looking to refinance right now",not_interested
"Not interested, thank you. actually",not_interested
"Please remove me from your calling listNo thanks, I'm not interested.",not_interested
"This isn't a good time, can well we talk sometime next week",callback_request
I'm um open to hearing what you have to offer.,interested
"I'm a bit you know busy right now, please try again this afternoon",callback_request
"Maybe another time, but probably not.",not_interested
"Not right now, maybe call back another day.",callback_request
Would you mind calling back this evening?,callback_request
I'm on the Do Not Call list.,complaint
Try me later and I'll decide if I want to hear more.,callback_request
I'm not available right now. Try again later.,callback_request
I already refinanced recently.,not_interested
honestly That sounds interesting. What's the rate?,interested
What kind of savings are we talking about?,interested
Can you reach out again in a few days?,callback_request
I've asked to be removed from your list actually already.,complaint
"If this continues, I'll file a complaint. I mean",complaint
Let's see if well it makes sense for my situation.,interested
"Yeah, I'd like to hear more actually about it.",interested
"I've been comparing lenders recently, what can you actually tell me",interested
"I'm pretty busy these days, but you can call back next week.",callback_request
I'm busy right now but I'd like to hear more.,callback_request
I'm reporting these calls if they don't stop.,complaint
